max_depth,nrounds,alpha,gamma,eta,train_f2_score,val_f2_score,f2_score_diff,train_auc,val_auc,auc_diff,train_gain,val_gain,gain_diff
2,20,5,0,0.3,0.202027604115334,0.200058754687291,0.00926858811572491,0.773813515092775,0.770075794296829,0.013131453958583,19490250,4768750,14721500
2,20,10,5,0.3,0.199996507830035,0.195045011716475,0.0088719151542591,0.774515874259301,0.766577178769366,0.0140782932370233,19334000,4602000,14732000
2,20,5,5,0.3,0.20158614046183,0.197572976659536,0.0095735454936814,0.773224354316072,0.766918780287537,0.0140128440602128,19426750,4672250,14754500
2,20,10,0,0.3,0.201437801768637,0.197333223596671,0.0101315691227686,0.773400504552946,0.766820446067381,0.0151167689839092,19418250,4660750,14757500
2,20,5,10,0.3,0.202358564009675,0.19889774399385,0.0103075593599161,0.773625500570721,0.768117193040436,0.0145317779739591,19523500,4721500,14802000
2,20,0,10,0.3,0.203000516607799,0.198335512060222,0.00960495395020472,0.773039223466718,0.765946531450856,0.0142060948027132,19552250,4679750,14872500
2,20,0,0,0.3,0.204063377992864,0.199643643279467,0.0105619227290555,0.772487042020776,0.765986717220159,0.0162090904184382,19627250,4714750,14912500
2,20,10,10,0.3,0.202299281351412,0.196860292562628,0.00931164385943794,0.774623718413486,0.76615689185699,0.0145957334332857,19566250,4643750,14922500
2,20,0,5,0.3,0.206654854088627,0.202783742704653,0.0105048320811317,0.772400563440727,0.766386047136111,0.0144943803352387,19859500,4791750,15067750
3,20,10,10,0.3,0.210507653603247,0.205852831170687,0.0068894264007233,0.782873993980093,0.775877609381479,0.00911176026308318,20789500,4992750,15796750
3,20,5,10,0.3,0.213291438546306,0.20729698245082,0.00938193067804002,0.78193434452653,0.772948468263877,0.0123695653280928,20986250,4983500,16002750
3,20,10,5,0.3,0.210593976537915,0.204766025827677,0.0103455962486017,0.786779969130797,0.778530548222723,0.0151209740197283,21010750,5e+06,16010750
3,20,10,0,0.3,0.212508652745445,0.207095564641347,0.00956411928082818,0.787066743790435,0.779084214186997,0.0138929521308154,21205500,5064750,16140750
2,30,10,10,0.3,0.217633885912529,0.212877378675816,0.00948491594934426,0.780559126134736,0.773897185111144,0.0123103359912319,21282250,5124750,16157500
2,20,10,10,0.5,0.217683841885261,0.212867085061668,0.00895691141240816,0.781082552709638,0.773548305401037,0.0130530475290965,21315000,5114250,16200750
2,30,5,10,0.3,0.218673343972752,0.213015201104589,0.009317660307842,0.779964191032699,0.771850509592628,0.0119255421061655,21337250,5097500,16239750
2,30,5,0,0.3,0.219437561430468,0.215187481866131,0.00853193130541211,0.781149994016082,0.775243104289724,0.0118923678496563,21467750,5191250,16276500
3,20,0,10,0.3,0.2173430229988,0.210577666176844,0.0100168941249222,0.781616240466133,0.771626480234539,0.0141867971379784,21322250,5041000,16281250
3,20,5,5,0.3,0.21513911921005,0.206628562408034,0.0113091457785713,0.783883533767977,0.771666251187697,0.014986734467286,21261750,4954750,16307000
2,30,10,5,0.3,0.217126125246257,0.210647837612774,0.00863097570356616,0.78311757577469,0.774013486217165,0.0119774475238094,21388250,5077750,16310500
2,30,10,0,0.3,0.217589538521091,0.211931358008068,0.00973730521249688,0.783214307705268,0.775164870736679,0.0119811887243428,21433500,5121500,16312000
2,30,5,5,0.3,0.218622345021052,0.212301154292543,0.00977851268068003,0.782469516903016,0.773467073785793,0.0123305357628118,21479000,5104750,16374250
2,30,0,0,0.3,0.221489108340223,0.215894542840771,0.00968518508024913,0.781489250142342,0.774210999077799,0.0122897728951936,21656750,5191750,16465000
2,20,10,5,0.5,0.219787929401072,0.213492267892635,0.0109944582903249,0.782992086209994,0.77340678533862,0.0150816997255186,21602250,5128000,16474250
2,20,0,10,0.5,0.221779982788647,0.215471387077677,0.00908183452186319,0.781601588047035,0.773262698463348,0.0111009077227745,21679000,5171750,16507250
2,20,5,10,0.5,0.221464528449729,0.215571393906565,0.0130497454465715,0.782773819015098,0.774998973122048,0.0153099679360593,21712250,5193000,16519250
2,30,0,5,0.3,0.221966057152469,0.214854935594761,0.0114316980308347,0.780915371914161,0.771334031518254,0.014616384426283,21661000,5128000,16533000
2,20,10,0,0.5,0.220345964519198,0.214423662147392,0.0108459823527148,0.783918368504549,0.774778786063685,0.014632774687973,21702250,5167250,16535000
3,20,0,5,0.3,0.217920159480877,0.208698617562835,0.0114520622277114,0.785047849110837,0.77181546110496,0.0150033503549281,21564000,5002500,16561500
2,20,5,5,0.5,0.221243783738703,0.214178507214875,0.0115946580942732,0.783351330228756,0.773862552353602,0.013177319390678,21740000,5151000,16589000
2,30,0,10,0.3,0.222263382665195,0.215457490437571,0.00984425040652364,0.782746240257988,0.773549584589534,0.0121587661247233,21790250,5175000,16615250
2,20,5,0,0.5,0.221184727360684,0.214493025292899,0.0111588427514666,0.784085645435743,0.774224255087272,0.0131175021002896,21780500,5163000,16617500
3,20,5,0,0.3,0.2180699090888,0.207013008989036,0.0116101810718608,0.78589450087156,0.769968457709941,0.0159260431616191,21626750,4938000,16688750
2,40,10,10,0.3,0.222226284310617,0.216400339100507,0.0109801187458489,0.785628343772828,0.777274382659971,0.0129318374811676,21956750,5247000,16709750
3,20,0,0,0.3,0.219011709146813,0.209608526955961,0.0109627852877775,0.787420098585914,0.774371343269377,0.0141005843991704,21795000,5059000,16736000
2,20,0,0,0.5,0.224256096599212,0.216566536050025,0.0110258464646708,0.782245257460583,0.7717209542137,0.0129533222072127,21919500,5173250,16746250
3,30,10,10,0.3,0.223609086821537,0.215820276574151,0.0119096096221231,0.78502261232447,0.775080204051807,0.0132660708552805,22037000,5202500,16834500
2,20,0,5,0.5,0.225159683580429,0.216567115904328,0.0119288535915844,0.782639989178766,0.77053921363895,0.0145297945001445,22013250,5156250,16857000
2,40,10,5,0.3,0.223252857880512,0.217048139887626,0.0130626131883941,0.787617937939618,0.779175261276665,0.0154381215346536,22160250,5287500,16872750
2,30,10,10,0.7,0.227292483938443,0.2218711003964,0.0142793587914349,0.783269872037651,0.775697140960536,0.0159164389581383,22217000,5335250,16881750
2,40,10,10,0.7,0.227292483938443,0.2218711003964,0.0142793587914349,0.783269872037651,0.775697140960536,0.0159164389581383,22217000,5335250,16881750
2,20,10,10,0.7,0.227368931210503,0.221655873051649,0.0141805490870403,0.783581875244163,0.775656524398879,0.0157521537633251,22241750,5330500,16911250
2,30,10,10,0.5,0.224413146077638,0.217321782057627,0.0119341379528257,0.786283343971963,0.776248691359028,0.0138058958605288,22172250,5248250,16924000
2,40,10,10,0.5,0.224415989296711,0.217321782057627,0.0119312947337526,0.786283878402661,0.776248691359028,0.0138053614298311,22172500,5248250,16924250
3,40,10,10,0.3,0.226417966102139,0.219413679691838,0.0118159213264096,0.786384455003585,0.777583920701204,0.0126945439809348,22340750,5313500,17027250
3,20,10,10,0.5,0.22651173464284,0.218951558273916,0.0142744212927734,0.786995101200403,0.777170908416236,0.0162963147033381,22384000,5295500,17088500
2,40,10,0,0.3,0.225080321927004,0.216626677991898,0.0128718779354713,0.790283270459065,0.778796454064422,0.0150298136328556,22467750,5273500,17194250
3,30,10,10,0.5,0.228287248888969,0.220954055627975,0.0137188043747062,0.787331792160086,0.777863960204691,0.0159550954050785,22541500,5346250,17195250
3,40,10,10,0.5,0.228295667724402,0.220974809693529,0.0137064691445852,0.787333395452179,0.777868235627424,0.0159524232744391,22542250,5346750,17195500
2,40,5,10,0.3,0.225972369009458,0.217471256587402,0.0115706352727252,0.789347473175599,0.776886591662052,0.0137459350803603,22484500,5262250,17222250
2,40,0,0,0.3,0.228420703651689,0.222770272602785,0.0107102182262471,0.789730551570863,0.78239340486312,0.0121687328322184,22694000,5451750,17242250
2,40,5,0,0.3,0.226541384366623,0.21750448142286,0.0112078160368674,0.789526613940703,0.77748601786749,0.0138919371892496,22538000,5271750,17266250
2,20,10,10,1,0.230923521282398,0.219356497914416,0.0134131623627903,0.782912969415546,0.768093624117405,0.0167852653412894,22474250,5173250,17301000
2,30,10,10,1,0.230923521282398,0.219356497914416,0.0134131623627903,0.782912969415546,0.768093624117405,0.0167852653412894,22474250,5173250,17301000
2,40,10,10,1,0.230923521282398,0.219356497914416,0.0134131623627903,0.782912969415546,0.768093624117405,0.0167852653412894,22474250,5173250,17301000
2,40,0,5,0.3,0.227893230809094,0.219935701910266,0.0106929079334337,0.789931927434446,0.779182951542802,0.0135003053939285,22667000,5349000,17318000
3,30,10,5,0.3,0.227181846580143,0.218818784942149,0.0129855127584943,0.790996096526051,0.779821282272587,0.0148581983265958,22680000,5332750,17347250
3,30,5,10,0.3,0.229050155192263,0.220169939326958,0.0124884802654574,0.788445340103764,0.775956669367879,0.0162909115808733,22668500,5305000,17363500
2,20,10,5,0.7,0.230542032296874,0.221907026415587,0.0114502572095671,0.787224153399167,0.775722792765745,0.0131406353497355,22703250,5338250,17365000
2,40,5,5,0.3,0.22651881340876,0.216752196304205,0.0109086584189509,0.790939554218882,0.777049491991368,0.014558808298166,22623250,5251000,17372250
2,30,5,10,0.5,0.22971075632053,0.220474888778075,0.0137149947755533,0.788263737741862,0.775432066122098,0.0175242785393353,22704750,5304250,17400500
3,30,10,0,0.3,0.227953657803243,0.220210976153786,0.0114532028160336,0.791808329565852,0.781300170348227,0.0133792026128424,22787250,5384500,17402750
2,40,0,10,0.3,0.22839884544325,0.219497750804381,0.0118377893383524,0.790256115054555,0.778196169061921,0.0142460555503864,22727750,5324500,17403250
3,20,10,10,0.7,0.231525419823838,0.222419588554021,0.0139536332681382,0.786590739286896,0.775157572364218,0.0154214429118845,22740250,5332750,17407500
3,30,10,10,0.7,0.231525419823838,0.222419588554021,0.0139536332681382,0.786590739286896,0.775157572364218,0.0154214429118845,22740250,5332750,17407500
3,40,10,10,0.7,0.231525419823838,0.222419588554021,0.0139536332681382,0.786590739286896,0.775157572364218,0.0154214429118845,22740250,5332750,17407500
2,20,5,10,0.7,0.231671458573734,0.222185699534813,0.014018739498264,0.786026588797838,0.773644051942329,0.0160111877062041,22718750,5307250,17411500
2,40,5,10,0.5,0.229997879656444,0.220150576098592,0.0143264307909513,0.788171066177712,0.774181914944907,0.0186817581523756,22722000,5279250,17442750
2,30,5,10,0.7,0.232830355889295,0.22265567165607,0.0140009215389212,0.786755236095175,0.773434124293609,0.0166834017739832,22847500,5313000,17534500
2,40,5,10,0.7,0.232830355889295,0.22265567165607,0.0140009215389212,0.786755236095175,0.773434124293609,0.0166834017739832,22847500,5313000,17534500
3,20,10,5,0.5,0.229274409890977,0.218380968816463,0.0128599316077911,0.790125818413787,0.774700534980661,0.0157214175388936,22788000,5249000,17539000
3,30,5,5,0.3,0.229502127506079,0.219995520500064,0.0103581126649859,0.791211683530751,0.777412472314067,0.0137992112166848,22871750,5323750,17548000
3,20,5,10,0.5,0.231019065467165,0.220995682094143,0.0121427488095031,0.789632958718167,0.776423122471942,0.0151105281469241,22890750,5329250,17561500
2,30,10,5,0.5,0.230294276211347,0.219672693226498,0.012474210060061,0.790014226396168,0.775258911912726,0.0159858541769103,22857000,5284000,17573000
2,20,10,0,0.7,0.231367859774059,0.222083704039603,0.0118443596358259,0.78984427446558,0.776895986333752,0.0150381962110877,22929000,5354250,17574750
2,20,0,10,0.7,0.232174041092103,0.222526608652803,0.0134017921247523,0.788934234631858,0.775508602124442,0.0160611542570978,22927500,5343500,17584000
2,20,5,5,0.7,0.232752975517654,0.221313778452775,0.0136039807741983,0.787179148814355,0.771950969615159,0.0171051695613458,22864000,5260750,17603250
2,40,10,5,0.5,0.231214263047207,0.221643132469942,0.0117570910910951,0.791157703172954,0.778319724157835,0.0140685187085875,22998000,5369250,17628750
2,20,5,10,1,0.235243246237906,0.22210565691122,0.0143943470725662,0.784278763903296,0.767174395132767,0.0209112374912415,22870750,5217250,17653500
2,30,5,10,1,0.235246225369607,0.22210565691122,0.0143973262042664,0.784279298333994,0.767174395132767,0.0209117719219392,22871000,5217250,17653750
2,40,5,10,1,0.235246225369607,0.22210565691122,0.0143973262042664,0.784279298333994,0.767174395132767,0.0209117719219392,22871000,5217250,17653750
2,30,10,0,0.5,0.231084003112768,0.221565789894535,0.0121504037071871,0.792182108419801,0.779490781156953,0.0164948167194351,23053000,5385000,17668000
2,20,5,0,0.7,0.234367139415939,0.223669569404956,0.0126646776771771,0.787411518778225,0.773328950305617,0.0156256439496475,23003000,5331000,17672000
3,20,5,10,0.7,0.234411127511504,0.223236550568243,0.0153190875663546,0.787174978378049,0.771194629854961,0.0207372999863106,22983250,5293500,17689750
3,30,5,10,0.7,0.234457183475318,0.223272919955809,0.0153287741426027,0.787182994838514,0.77120104298906,0.0207389033126775,22987000,5294250,17692750
3,40,5,10,0.7,0.234457183475318,0.223272919955809,0.0153287741426027,0.787182994838514,0.77120104298906,0.0207389033126775,22987000,5294250,17692750
3,20,10,10,1,0.233097358801916,0.216999400905889,0.0160979578960276,0.786056727365066,0.765595896710314,0.0204608306547529,22823750,5093250,17730500
3,30,10,10,1,0.233097358801916,0.216999400905889,0.0160979578960276,0.786056727365066,0.765595896710314,0.0204608306547529,22823750,5093250,17730500
3,40,10,10,1,0.233097358801916,0.216999400905889,0.0160979578960276,0.786056727365066,0.765595896710314,0.0204608306547529,22823750,5093250,17730500
2,30,0,10,0.5,0.233405559419356,0.222546491687711,0.0108590677316442,0.79059034207136,0.775853196997806,0.0147371450735535,23126500,5353500,17773000
3,40,5,10,0.3,0.233287761545357,0.221863727316025,0.012261034966866,0.792210429815364,0.776577037644611,0.0157852294626118,23217750,5347250,17870500
2,20,0,0,0.7,0.235087754410493,0.220425736143642,0.0146620182668516,0.788998256497045,0.76984871122477,0.0191495452722752,23139250,5227000,17912250
2,30,5,5,0.5,0.234327767838612,0.224156474333062,0.0120152006877101,0.793375817051174,0.780571192191292,0.0133019214694789,23369000,5450750,17918250
2,30,10,5,0.7,0.236756938083432,0.226529608435938,0.0129959555713157,0.791860582964543,0.778650207652094,0.0145574173106965,23448000,5468500,17979500
2,40,10,5,0.7,0.236756938083432,0.226529608435938,0.0129959555713157,0.791860582964543,0.778650207652094,0.0145574173106965,23448000,5468500,17979500
2,20,0,5,1,0.234933305011286,0.220113437763049,0.0148198672482368,0.790717855751875,0.771812016913985,0.0189058388378903,23246750,5244500,18002250
3,30,0,10,0.3,0.234234210394325,0.220984879777352,0.0132493306169728,0.792992093021444,0.775813012005387,0.0171790810160562,23341000,5318500,18022500
3,30,5,10,0.5,0.235719749349708,0.224427169821002,0.0149090122674617,0.793181174158779,0.777991360525071,0.018543556462226,23459750,5421750,18038000
3,40,5,10,0.5,0.235722598872648,0.224427169821002,0.014906162744522,0.793181708589477,0.777991360525071,0.0185430220315283,23460000,5421750,18038250
3,20,5,5,0.5,0.234252609010929,0.221237620421933,0.0137300778911293,0.793441660339156,0.776159752496058,0.0172819078430974,23369500,5328750,18040750
2,40,0,10,0.7,0.236605433878687,0.224452662428574,0.013186151211015,0.791981042951376,0.775296106154798,0.0166849367965782,23443750,5379250,18064500
2,20,0,5,0.7,0.237901346795444,0.222499674432515,0.0154016723629297,0.788314601528102,0.767557480601085,0.0207571209270173,23304250,5231750,18072500
2,30,0,10,0.7,0.236672725105104,0.224440874095048,0.0132652307709582,0.79214265607553,0.775293968443432,0.0168486876320981,23458750,5379000,18079750
3,20,10,0,0.5,0.233409097972429,0.220089497860576,0.0135477974444192,0.794776146911469,0.776226451518181,0.018549695393288,23387750,5306250,18081500
2,30,10,5,1,0.23715129514794,0.224460405510682,0.015180434180208,0.791781806938414,0.775897653437138,0.0181175054319185,23471750,5389000,18082750
2,40,10,5,1,0.23715129514794,0.224460405510682,0.015180434180208,0.791781806938414,0.775897653437138,0.0181175054319185,23471750,5389000,18082750
2,30,0,0,0.5,0.235711415031268,0.223967082097457,0.011744332933811,0.793699789255104,0.777597591938112,0.016138940908426,23490250,5406000,18084250
