fold,max_depth,nrounds,alpha,gamma,train_f2_score,val_f2_score,f2_score_diff,train_auc,val_auc,auc_diff,train_gain,val_gain,gain_diff,val_tp,val_fp,val_tn,val_fn
1,2,30,0,0,0.159510433386838,0.159510433386838,0.0169079378431658,0.711551825499545,0.691124120146202,0.0204277053533425,6930000,582500,6347500,32,782,22676,45
1,2,30,0,5,0.153696498054475,0.153696498054475,0.0200758083993023,0.709375511366674,0.683799340739404,0.02557617062727,6440000,485000,5955000,31,821,22637,46
1,2,30,0,10,0.158058995268298,0.158058995268298,0.0221894300509063,0.708759913600247,0.67847814220054,0.0302817713997072,6773750,505000,6268750,30,766,22692,47
1,2,30,5,0,0.155875299760192,0.155875299760192,0.0164868105515588,0.707144888964868,0.684822445863455,0.0223224431014125,6580000,545000,6035000,31,773,22685,46
1,2,30,5,5,0.157388663967611,0.157388663967611,0.0193941837468202,0.706729331971376,0.678840491931975,0.0278888400394017,6690000,526250,6163750,30,749,22709,47
1,2,30,5,10,0.147659732540862,0.147659732540862,0.0102742204675895,0.709657177406745,0.695955080813125,0.0137020965936199,5930000,533750,5396250,33,860,22598,44
1,2,30,10,0,0.158910891089109,0.158910891089109,0.0122442244224423,0.713395310629251,0.69757499725954,0.0158203133697115,6915000,628750,6286250,33,784,22674,44
1,2,30,10,5,0.147685185185185,0.147685185185185,0.00960987137765379,0.710300092171372,0.696082968953632,0.0142171232177409,5940000,541250,5398750,33,854,22604,44
1,2,30,10,10,0.147031191281473,0.147031191281473,0.00648604647738454,0.706357344419432,0.696530577445404,0.00982676697402751,5835000,567500,5267500,33,833,22625,44
1,3,30,0,0,0.174749250336056,0.174749250336056,0.0306051061919121,0.726629227370787,0.691379896427215,0.0352493309435715,8301250,597500,7703750,32,770,22688,45
1,3,30,0,5,0.165682250475523,0.165682250475523,0.0279044726977453,0.720845199935522,0.684545354892358,0.0362998450431641,7553750,528750,7025000,31,786,22672,46
1,3,30,0,10,0.169803600654665,0.169803600654665,0.0166504475015113,0.72206835067857,0.704409538794397,0.0176588118841728,7870000,697500,7172500,34,768,22690,43
1,3,30,5,0,0.16612641815235,0.16612641815235,0.0223708026986214,0.718966190154076,0.691315952356962,0.0276502377971137,7550000,593750,6956250,32,773,22685,45
1,3,30,5,5,0.167977126518942,0.167977126518942,0.0295842693760849,0.719871987341579,0.68465192834278,0.0352200589987992,7698750,535000,7163750,31,781,22677,46
1,3,30,5,10,0.168533604887984,0.168533604887984,0.0250358470404501,0.721245444345126,0.691273322976793,0.0299721213683332,7765000,591250,7173750,32,775,22683,45
1,3,30,10,0,0.170390776451383,0.170390776451383,0.0291727711557073,0.723446544302349,0.690889658555274,0.0325568857470749,7938750,568750,7370000,32,793,22665,45
1,3,30,10,5,0.166783884256003,0.166783884256003,0.0199867312310922,0.721649159788038,0.697596311949624,0.0240528478384134,7648750,630000,7018750,33,783,22675,44
1,3,30,10,10,0.16508948775972,0.16508948775972,0.025071420912385,0.714290531853099,0.684929019313877,0.0293615125392218,7387500,551250,6836250,31,768,22690,46
1,4,30,0,0,0.198662071761606,0.198662071761606,0.0586440049142704,0.7649772440685,0.684929019313877,0.080048224754622,10757500,551250,10206250,31,768,22690,46
1,4,30,0,5,0.194435983348563,0.194435983348563,0.0608651908285277,0.758549199145416,0.678073163088936,0.0804760360564803,10328750,481250,9847500,30,785,22673,47
1,4,30,0,10,0.176354985519239,0.176354985519239,0.0444168599505399,0.728792434366153,0.672069894467371,0.0567225398987823,8455000,461250,7993750,29,762,22696,48
1,4,30,5,0,0.177993527508091,0.177993527508091,0.0347527038733548,0.736177113712368,0.691230693596624,0.0449464201157434,8730000,588750,8141250,32,777,22681,45
1,4,30,5,5,0.172834485563237,0.172834485563237,0.0321811280314767,0.727675857578326,0.685035592764299,0.0426402648140263,8195000,557500,7637500,31,763,22695,46
1,4,30,5,10,0.169009550380942,0.169009550380942,0.0212497791702654,0.71093275669981,0.686165271338773,0.0247674853610372,7591250,623750,6967500,31,710,22748,46
1,4,30,10,0,0.177678199249687,0.177678199249687,0.0349526007229839,0.728962952694505,0.68537662780565,0.0435863248888553,8545000,577500,7967500,31,747,22711,46
1,4,30,10,5,0.16810168101681,0.16810168101681,0.0244751101011908,0.719240914127532,0.691294637666878,0.0279462764606543,7695000,592500,7102500,32,774,22684,45
1,4,30,10,10,0.167739925218114,0.167739925218114,0.0270865676863534,0.715950554380682,0.685035592764299,0.030914961616383,7605000,557500,7047500,31,763,22695,46
1,2,40,0,0,0.164163296745619,0.164163296745619,0.0203392696728611,0.727091987702865,0.70287488110832,0.0242171065945456,7557500,607500,6950000,34,840,22618,43
1,2,40,0,5,0.161401776900296,0.161401776900296,0.00975532975991486,0.717636465455808,0.709986513614274,0.00764995184153439,7177500,692500,6485000,35,811,22647,42
1,2,40,0,10,0.163909622755699,0.163909622755699,0.0202830518400796,0.716710619064186,0.691294637666878,0.0254159813973079,7347500,592500,6755000,32,774,22684,45
1,2,40,5,0,0.162121963311849,0.162121963311849,0.0175119720760912,0.717743039411028,0.697233962218189,0.020509077192839,7233750,608750,6625000,33,800,22658,44
1,2,40,5,5,0.163087113608992,0.163087113608992,0.0199744123567563,0.716592203558385,0.69120937890654,0.0253828246518455,7285000,587500,6697500,32,778,22680,45
1,2,40,5,10,0.160023854487625,0.160023854487625,0.0183055196780595,0.714206375412115,0.690974917315611,0.0232314580965034,7013750,573750,6440000,32,789,22669,45
1,2,40,10,0,0.162353635737479,0.162353635737479,0.0142700120440993,0.719714413286999,0.703599580571189,0.0161148327158094,7286250,650000,6636250,34,806,22652,43
1,2,40,10,5,0.159117532213979,0.159117532213979,0.0162603893568361,0.716647777414245,0.696935556557008,0.0197122208572371,6985000,591250,6393750,33,814,22644,44
1,2,40,10,10,0.149162431771127,0.149162431771127,0.00825722254824096,0.709274776754878,0.696594521515657,0.0126802552392203,6057500,571250,5486250,33,830,22628,44
1,3,40,0,0,0.188177541419513,0.188177541419513,0.0484119868658613,0.74793683883856,0.684886389933709,0.0630504489048509,9667500,548750,9118750,31,770,22688,46
1,3,40,0,5,0.1790578028851,0.1790578028851,0.0364553073414283,0.738274008024486,0.691124120146202,0.0471498878782839,8848750,582500,8266250,32,782,22676,45
1,3,40,0,10,0.176197836166924,0.176197836166924,0.0319237153373481,0.729423507580201,0.6914012111173,0.0380222964629012,8458750,598750,7860000,32,769,22689,45
1,3,40,5,0,0.176868655798216,0.176868655798216,0.0382364931364784,0.731465930759651,0.678947065382397,0.0525188653772546,8548750,532500,8016250,30,744,22714,47
1,3,40,5,5,0.173618245325663,0.173618245325663,0.026424133090152,0.726480023833479,0.691870134299156,0.0346098895343222,8222500,626250,7596250,32,747,22711,45
1,3,40,5,10,0.169334975369458,0.169334975369458,0.024144412756028,0.720706735225603,0.69155041394789,0.0291563212777124,7810000,607500,7202500,32,762,22696,45
1,3,40,10,0,0.174892922700388,0.174892922700388,0.027307949534019,0.729903008946824,0.697724200090131,0.0321788088566936,8382500,637500,7745000,33,777,22681,44
1,3,40,10,5,0.165646019475956,0.165646019475956,0.0205272859667214,0.720192811930431,0.697319220978527,0.0228735909519037,7538750,613750,6925000,33,796,22662,44
1,3,40,10,10,0.164456510389475,0.164456510389475,0.0217309118627713,0.710321732689882,0.68537662780565,0.0249451048842323,7268750,577500,6691250,31,747,22711,46
1,4,40,0,0,0.2217395696535,0.2217395696535,0.0928506807646115,0.798678022186628,0.671515712525176,0.127162309661452,13066250,428750,12637500,29,788,22670,48
1,4,40,0,5,0.203482486333266,0.203482486333266,0.0667981829822958,0.772135831230503,0.684353522681598,0.0877823085489041,11242500,517500,10725000,31,795,22663,46
1,4,40,0,10,0.18369036531098,0.18369036531098,0.0454415173847128,0.738866085553486,0.678883121312143,0.0599829642413428,9161250,528750,8632500,30,747,22711,47
1,4,40,5,0,0.203314018501576,0.203314018501576,0.068543129013705,0.770795530568579,0.67828630998978,0.0925092205787994,11193750,493750,10700000,30,775,22683,47
1,4,40,5,5,0.184147733167341,0.184147733167341,0.0457713494035034,0.73892292499627,0.678904436002228,0.0600184889940424,9191250,530000,8661250,30,746,22712,47
1,4,40,5,10,0.16934527019739,0.16934527019739,0.020592870965144,0.710327734897039,0.686314474169364,0.024013260727675,7601250,632500,6968750,31,703,22755,46
1,4,40,10,0,0.193810730882974,0.193810730882974,0.0581699451018704,0.74795231428618,0.672709335169903,0.0752429791162771,10005000,498750,9506250,29,732,22726,48
1,4,40,10,5,0.17021059088121,0.17021059088121,0.0319411885618527,0.722772841506213,0.684630613652696,0.0381422278535175,7912500,533750,7378750,31,782,22676,46
1,4,40,10,10,0.168266694799029,0.168266694799029,0.0248809408674846,0.713428629834608,0.685483201256072,0.0279454285785363,7591250,583750,7007500,31,742,22716,46
2,2,30,0,0,0.165217391304348,0.165217391304348,0.0478888714487522,0.715924898460148,0.650254355301674,0.0656705431584739,7416250,305000,7111250,26,770,22688,52
2,2,30,0,5,0.154224619169269,0.154224619169269,0.0344888635953627,0.716203645502725,0.667353655524003,0.0488499899787224,6573750,326250,6247500,29,870,22588,49
2,2,30,0,10,0.162577299022541,0.162577299022541,0.045083826437685,0.717489637895713,0.655812024108554,0.0616776137871588,7252500,303750,6948750,27,810,22648,51
2,2,30,5,0,0.152379171730392,0.152379171730392,0.0381866758086951,0.715900501807877,0.660602364072396,0.0552981377354813,6413750,257500,6156250,28,886,22572,50
2,2,30,5,5,0.162699608315758,0.162699608315758,0.0439660990809292,0.71621359444393,0.656067800389567,0.0601457940543625,7238750,318750,6920000,27,798,22660,51
2,2,30,5,10,0.159742828882295,0.159742828882295,0.0426569659161195,0.715131514571288,0.655726765348217,0.0594047492230715,6997500,298750,6698750,27,814,22644,51
2,2,30,10,0,0.153327636950536,0.153327636950536,0.0416651059331667,0.71412971939222,0.65453314270349,0.0595965766887302,6468750,228750,6240000,27,870,22588,51
2,2,30,10,5,0.152224824355972,0.152224824355972,0.0390477831271926,0.715232876205535,0.660367902481467,0.0548649737240681,6391250,243750,6147500,28,897,22561,50
2,2,30,10,10,0.1521820565649,0.1521820565649,0.0427817324157912,0.715225771275187,0.65400027545138,0.0612254958238077,6387500,197500,6190000,27,895,22563,51
2,3,30,0,0,0.169284111768305,0.169284111768305,0.0567728606431926,0.722329036670595,0.64375884013108,0.0785701965395147,7827500,251250,7576250,25,774,22684,53
2,3,30,0,5,0.171660741493144,0.171660741493144,0.0521917149444712,0.726555043125432,0.656217003220158,0.0703380399052742,8078750,327500,7751250,27,791,22667,51
2,3,30,0,10,0.168606985146527,0.168606985146527,0.0584748265562191,0.724833757371841,0.643247287569054,0.0815864698027867,7830000,221250,7608750,25,798,22660,53
2,3,30,5,0,0.167412886898968,0.167412886898968,0.0420887728108092,0.72985740863503,0.66850464878856,0.0613527598464696,7842500,393750,7448750,29,816,22642,49
2,3,30,5,5,0.165388064162598,0.165388064162598,0.047277827942126,0.721781957033798,0.655939912249061,0.0658420447847379,7538750,311250,7227500,27,804,22654,51
2,3,30,5,10,0.166230102760427,0.166230102760427,0.0374556800250808,0.720605382606887,0.669165404181177,0.0514399784257102,7577500,432500,7145000,29,785,22673,49
2,3,30,10,0,0.165037266479528,0.165037266479528,0.0328974540328098,0.727563229683737,0.681026755947892,0.0465364737358456,7621250,473750,7147500,31,830,22628,47
2,3,30,10,5,0.164486528699727,0.164486528699727,0.0429587509219489,0.724890358964255,0.662179651138642,0.0627107078256128,7530000,350000,7180000,28,812,22646,50
2,3,30,10,10,0.161193731909372,0.161193731909372,0.0424602226745437,0.715347030791844,0.656067800389567,0.0592792304022769,7111250,318750,6792500,27,798,22660,51
2,4,30,0,0,0.196586406583359,0.196586406583359,0.0745249237623823,0.761826472565452,0.656728555782184,0.105097916783268,10531250,357500,10173750,27,767,22691,51
2,4,30,0,5,0.186229112140125,0.186229112140125,0.0694276745839703,0.749375573121704,0.650147781851252,0.099227791270452,9567500,298750,9268750,26,775,22683,52
2,4,30,0,10,0.178189593727726,0.178189593727726,0.072878238416371,0.73524862366694,0.631300677042002,0.103947946624938,8708750,175000,8533750,23,757,22701,55
2,4,30,5,0,0.181133611478579,0.181133611478579,0.0639108883045488,0.739552784355605,0.65023304061159,0.0893197437440158,9001250,303750,8697500,26,771,22687,52
2,4,30,5,5,0.175375064666322,0.175375064666322,0.0643667390419,0.727701067371206,0.637966709733271,0.0897343576379345,8353750,238750,8115000,24,745,22713,54
2,4,30,5,10,0.170330242733618,0.170330242733618,0.0518252290599627,0.719220634740139,0.650488816892603,0.068731817847536,7836250,318750,7517500,26,759,22699,52
2,4,30,10,0,0.177402862985685,0.177402862985685,0.0527491233734967,0.733186539107015,0.657218793654125,0.0759677454528898,8610000,386250,8223750,27,744,22714,51
2,4,30,10,5,0.168556235577405,0.168556235577405,0.0420883042314253,0.724826652441493,0.66313881219244,0.0616878402490528,7826250,406250,7420000,28,767,22691,50
2,4,30,10,10,0.167355371900826,0.167355371900826,0.0485253901823621,0.716869616346061,0.650552760962856,0.0663168553832059,7585000,322500,7262500,26,756,22702,52
2,2,40,0,0,0.166767738023044,0.166767738023044,0.043528301403326,0.720681168530599,0.662520686179992,0.0581604823506069,7617500,370000,7247500,28,796,22662,50
2,2,40,0,5,0.16390205371248,0.16390205371248,0.0334672711037846,0.721566440813243,0.675085422719492,0.0464810180937504,7425000,452500,6972500,30,808,22650,48
2,2,40,0,10,0.164737310774711,0.164737310774711,0.0382102601638904,0.722335903750572,0.668739110379489,0.0535967933710831,7501250,407500,7093750,29,805,22653,49
2,2,40,5,0,0.164997053624042,0.164997053624042,0.04688681740357,0.724317465766553,0.655939912249061,0.0683775535174923,7557500,311250,7246250,27,804,22654,51
2,2,40,5,5,0.165550053403243,0.165550053403243,0.0319293637480706,0.727639015607449,0.681303846918989,0.0463351686884603,7661250,490000,7171250,31,817,22641,47
2,2,40,5,10,0.159135559921415,0.159135559921415,0.038963886101672,0.715685461288062,0.661902560167544,0.0537829011205171,6960000,333750,6626250,28,825,22633,50
2,2,40,10,0,0.162882527147088,0.162882527147088,0.0444614745155089,0.720122247343223,0.656003856319314,0.0641183910239095,7322500,315000,7007500,27,801,22657,51
2,2,40,10,5,0.162444401469735,0.162444401469735,0.0418586994886843,0.723938536147993,0.661987818927882,0.0619507172201109,7357500,338750,7018750,28,821,22637,50
2,2,40,10,10,0.161957618567104,0.161957618567104,0.0473191705953227,0.714165719744701,0.649700173359479,0.0644655463852212,7147500,272500,6875000,26,796,22662,52
2,3,40,0,0,0.184049079754601,0.184049079754601,0.0692080903553079,0.746475344631086,0.649742802739648,0.0967325418914374,9356250,275000,9081250,26,794,22664,52
2,3,40,0,5,0.177735736333765,0.177735736333765,0.0505427538776244,0.739760957795443,0.668866998519995,0.0708939592754475,8781250,415000,8366250,29,799,22659,49
2,3,40,0,10,0.17220172201722,0.17220172201722,0.0507988443193784,0.725326365875969,0.656600667641677,0.0687256982342916,8090000,350000,7740000,27,773,22685,51
2,3,40,5,0,0.176742317734485,0.176742317734485,0.0489890137697271,0.736363622030835,0.668973571970417,0.0673900500604173,8637500,421250,8216250,29,794,22664,49
2,3,40,5,5,0.167765128819652,0.167765128819652,0.0435415263351805,0.724715341866041,0.662712518390752,0.0620028234752891,7767500,381250,7386250,28,787,22671,50
2,3,40,5,10,0.167973124300112,0.167973124300112,0.0427495107044054,0.720849318548835,0.662904350601512,0.0579449679473236,7706250,392500,7313750,28,778,22680,50
2,3,40,10,0,0.172310756972112,0.172310756972112,0.0377816089900488,0.731851050051961,0.675831436872446,0.0560196131795148,8235000,496250,7738750,30,773,22685,48
2,3,40,10,5,0.164499605988968,0.164499605988968,0.0374180985393621,0.722949058220246,0.668845683829911,0.0541033743903349,7495000,413750,7081250,29,800,22658,49
2,3,40,10,10,0.163623665569191,0.163623665569191,0.0408166480253312,0.718936199675848,0.662435427419655,0.0565007722561934,7356250,365000,6991250,28,800,22658,50
2,4,40,0,0,0.213219616204691,0.213219616204691,0.0993762646564213,0.785563300726245,0.644035931102177,0.141527369624068,12173750,267500,11906250,25,761,22697,53
2,4,40,0,5,0.203357649645248,0.203357649645248,0.0713153961241216,0.7758326382043,0.675383828380674,0.100448809823626,11326250,470000,10856250,30,794,22664,48
2,4,40,0,10,0.188991015181245,0.188991015181245,0.0644522697937916,0.747091105261245,0.657197478964041,0.089893626297205,9681250,385000,9296250,27,745,22713,51
2,4,40,5,0,0.19768269133042,0.19768269133042,0.0748437468354243,0.763275402655703,0.656877758612774,0.106397644042928,10636250,366250,10270000,27,760,22698,51
2,4,40,5,5,0.181874229346486,0.181874229346486,0.0541370030691136,0.738338316966838,0.663373273783369,0.0749650431834694,9020000,420000,8600000,28,756,22702,50
2,4,40,5,10,0.170922135471619,0.170922135471619,0.0509959362096259,0.717348014989493,0.6507659078637,0.0665821071257937,7837500,335000,7502500,26,746,22712,52
2,4,40,10,0,0.188139059304703,0.188139059304703,0.0583892910007183,0.748300836029781,0.663735623514803,0.0845652125149773,9660000,441250,9218750,28,739,22719,50
2,4,40,10,5,0.171411387329591,0.171411387329591,0.0370027851790534,0.729123708199811,0.675810122182362,0.0533135860174487,8115000,495000,7620000,30,774,22684,48
2,4,40,10,10,0.169240533107679,0.169240533107679,0.051979745115184,0.714525940732703,0.644718001184878,0.0698079395478247,7667500,307500,7360000,25,729,22729,53
3,2,30,0,0,0.16153512575889,0.16153512575889,0.00464278235450213,0.699236626711723,0.703518672761575,0.00428204604985172,6855000,811250,6043750,34,677,22781,44
3,2,30,0,5,0.155782523470546,0.155782523470546,0.0132315610364965,0.701004802966894,0.715486597978712,0.0144817950118177,6468750,858750,5610000,36,717,22741,42
3,2,30,0,10,0.154754632457748,0.154754632457748,0.00849163619896851,0.702138747811717,0.70890582404778,0.00676707623606276,6407500,8e+05,5607500,35,725,22733,43
3,2,30,5,0,0.155964234911603,0.155964234911603,0.0053260876690418,0.704250566884078,0.708628733076683,0.00437816619260445,6532500,783750,5748750,35,738,22720,43
3,2,30,5,5,0.154736947189777,0.154736947189777,0.0156666402541688,0.705995297888459,0.727284005675173,0.021288707786714,6463750,896250,5567500,38,765,22693,40
3,2,30,5,10,0.154494382022472,0.154494382022472,0.0115397735752511,0.697597993961822,0.709289488469299,0.0116914945074775,6320000,822500,5497500,35,707,22751,43
3,2,30,10,0,0.157325987922449,0.157325987922449,0.00708407010462989,0.69800771161189,0.703284211170646,0.00527649955875675,6536250,797500,5738750,34,688,22770,44
3,2,30,10,5,0.154701718907988,0.154701718907988,0.0104358957709112,0.703417159573616,0.714953730726602,0.0115365711529851,6422500,827500,5595000,36,742,22716,42
3,2,30,10,10,0.156496996522289,0.156496996522289,0.00246254104996538,0.69788929610609,0.696767381309968,0.00112191479612167,6473750,742500,5731250,33,693,22765,45
3,3,30,0,0,0.177196498259677,0.177196498259677,0.014205127214615,0.725977651157869,0.703092378959887,0.022885272197982,8433750,786250,7647500,34,697,22761,44
3,3,30,0,5,0.169982107146616,0.169982107146616,0.00488776752397468,0.716573815431932,0.709161600328793,0.00741221510313916,7758750,815000,6943750,35,713,22745,43
3,3,30,0,10,0.168428689883914,0.168428689883914,0.00692676035305304,0.717665130694667,0.722131315979897,0.00446618528522946,7675000,921250,6753750,37,706,22752,41
3,3,30,5,0,0.167850890742457,0.167850890742457,0.002444463521285,0.718235655582253,0.709204229708962,0.00903142587329109,7646250,817500,6828750,35,711,22747,43
3,3,30,5,5,0.165996494483967,0.165996494483967,0.00381482627074956,0.71538516160407,0.715593171429134,0.000208009825063415,7461250,865000,6596250,36,712,22746,42
3,3,30,5,10,0.161174785100287,0.161174785100287,0.0282891705374214,0.710174175991347,0.747282103748981,0.0371079277576338,7020000,1087500,5932500,41,729,22729,37
3,3,30,10,0,0.168234812845163,0.168234812845163,0.0205313013353162,0.720236164079162,0.747196844988643,0.0269606809094812,7712500,1082500,6630000,41,733,22725,37
3,3,30,10,5,0.162420058877271,0.162420058877271,0.0131806804942629,0.713585721616651,0.727987390447958,0.0144016688313073,7171250,937500,6233750,38,732,22726,40
3,3,30,10,10,0.161824009926585,0.161824009926585,0.014920176119927,0.708973918463276,0.728136593278549,0.0191626748152733,7046250,946250,6100000,38,725,22733,40
3,4,30,0,0,0.197395833333333,0.197395833333333,0.0398027101241643,0.756644144524491,0.696575549099209,0.060068595425282,10435000,731250,9703750,33,702,22756,45
3,4,30,0,5,0.188063413117812,0.188063413117812,0.0298659059270159,0.745007705910277,0.696660807859546,0.0483468980507306,9571250,736250,8835000,33,698,22760,45
3,4,30,0,10,0.17220108975018,0.17220108975018,0.0115205604496128,0.724675318444439,0.702772658608621,0.0219026598358187,8076250,767500,7308750,34,712,22746,44
3,4,30,5,0,0.185837043172171,0.185837043172171,0.0113087412853785,0.742109845729774,0.722024742529475,0.0200851032002997,9361250,915000,8446250,37,711,22747,41
3,4,30,5,5,0.172502047502048,0.172502047502048,0.00598955906541479,0.72601767457947,0.715145562937361,0.0108721116421093,8125000,838750,7286250,36,733,22725,42
3,4,30,5,10,0.165881737310309,0.165881737310309,0.00489625130449201,0.712127556136306,0.71572105956964,0.00359350343333409,7391250,872500,6518750,36,706,22752,42
3,4,30,10,0,0.177136972193615,0.177136972193615,0.0201655963856739,0.731193135540454,0.702239791356511,0.0289533441839432,8547500,736250,7811250,34,737,22721,44
3,4,30,10,5,0.165327093295351,0.165327093295351,0.00676592996046344,0.717236466563671,0.721705022178209,0.0044685556145373,7448750,896250,6552500,37,726,22732,41
